metabolite_or_isotopologue	MCF001089_TD19	MCF001089_TD20	MCF001089_TD21	MCF001089_TD22	MCF001089_TD23	MCF001089_TD24	MCF001089_TD25	MCF001089_TD26	MCF001089_TD27	MCF001089_TD28	MCF001089_TD29	MCF001089_TD30	MCF001089_TD31	MCF001089_TD32	MCF001089_TD33	MCF001089_TD34	MCF001089_TD35	MCF001089_TD36	MCF001089_TD55	MCF001089_TD56	MCF001089_TD57	MCF001089_TD58	MCF001089_TD59	MCF001089_TD60	MCF001089_TD61	MCF001089_TD62	MCF001089_TD63	MCF001089_TD64	MCF001089_TD65	MCF001089_TD66	MCF001089_TD67	MCF001089_TD68	MCF001089_TD69	MCF001089_TD70	MCF001089_TD71	MCF001089_TD72
L-Lactic_acid	0.99599115961227	0.99599772879137	0.996055416309211	0.996114986279799	0.996186593512373	0.995994500438067	0.996132991391358	0.996246688151202	0.996051760608539	0.996077166645931	0.996100440914313	0.996067781083434	0.99601668895667	0.996178580583198	0.996061417717953	0.995969806137341	0.995935510945724	0.995903403267933	0.981176728749348	0.982344821248399	0.982893975908719	0.983950155325975	0.975193385889834	0.981143490400924	0.973048888977137	0.979345434097336	0.973594010758196	0.980544075873575	0.978237037190108	0.98113431693267	0.98106519373445	0.975623343861642	0.981057297112723	0.978373403361441	0.978510234526732	0.977726812997291
L-Lysine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Malic_acid	0.0	0.0	0.0	0.0052067142140932	0.0056257012249537	0.005207843966982	0.0061450615379249	0.0084380432836862	0.0086616414932889	0.0104238940510081	0.0094818110272772	0.0121919967841092	0.025759290904856	0.0300708895546953	0.0296053186956199	0.0506266800459435	0.0657102876343217	0.0664064247296577																		
L-Methionine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Proline	0.0033332465193545	0.0039890890311149	0.0024885649034223	0.0093721516067247	0.0163988124935214	0.0051433044862159	0.0133985852742358	0.0146846667756098	0.0101251473331057	0.020802504111159	0.0232041986653909	0.024288564618487	0.0168950002867602	0.0254154997218666	0.0239049587319658	0.0241159608782999	0.0372828629124888	0.030685284835207	0.0	0.0	0.0	0.0035981581498048	0.0	0.0	0.0022582830613801	0.0	0.0055923727631873	0.0	0.0035338625419719	0.0	0.0	2.94995872918784e-05	0.0068673778102713	0.0102248927631051	0.004402263176213	0.0068259358746325
L-Serine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Threonine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tyrosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Valine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pyruvic_acid	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.000139075094375	5.51743930058195e-05	0.0001082430441832	0.0026506671181012	0.0024742401927132	0.0026622029351933	0.0035842403861946	0.0037691493657037	0.0034359904957269	0.0049145809132116	0.0043535166937337	0.0052363940213681	0.0059397458474132	0.0057874757829562	0.0064813096499476	0.0086269081967996	0.0074514762189764	0.0083900027691063
Succinic_acid											0.0022017832194433				0.0071974698893654	0.0144974225851065		0.0145223050314771																		
cis-Aconitic_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
