metabolite_or_isotopologue	MCF001089_TD01	MCF001089_TD02	MCF001089_TD19	MCF001089_TD20	MCF001089_TD37	MCF001089_TD38	MCF001089_TD55	MCF001089_TD56
L-Glutamine_m+2	0.01	0.0104	0.009	0.0104				
L-Glutamine_m+3	0.0	0.0	0.0	0.0				
L-Glutamine_m+4	0.0	0.0	0.0	0.0				
L-Glutamine_m+5	0.0	0.0	0.0	0.0				
L-Histidine_m+0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Histidine_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Histidine_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Histidine_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Histidine_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Histidine_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Histidine_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lactic_acid_m+0	0.0	0.0	0.0	0.0	0.0155	0.0168	0.0147	0.0135
L-Lactic_acid_m+1	0.0	0.0	0.0	0.0	0.0002	0.0002	0.0002	0.0002
L-Lactic_acid_m+2	0.0115	0.0121	0.012	0.012	0.0121	0.012	0.012	0.0121
L-Lactic_acid_m+3	0.9885	0.9879	0.988	0.988	0.9723	0.9709	0.9731	0.9742
L-Lysine_m+0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Lysine_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lysine_m+2	0.0015	0.0004	0.0006	0.0009	0.0	0.0	0.0	0.0
L-Lysine_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lysine_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lysine_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lysine_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Malic_acid_m+0	1.0	1.0	1.0	1.0				
L-Malic_acid_m+1	0.0	0.0	0.0	0.0				
L-Malic_acid_m+2	0.001	0.0012	0.0009	0.0009				
L-Malic_acid_m+3	0.0001	0.0001	0.0002	0.0001				
L-Malic_acid_m+4	0.0005	0.0005	0.0002	0.0003				
L-Methionine_m+0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Methionine_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Methionine_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Methionine_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Methionine_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Methionine_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_m+0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Phenylalanine_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_m+7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_m+8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_m+9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Proline_m+0	0.9717	0.9719	0.9813	0.9779	0.9939	0.9872	1.0	1.0
L-Proline_m+1	0.0296	0.0306	0.0208	0.0244	0.0076	0.0147	0.0	0.0
L-Proline_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Proline_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Proline_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Proline_m+5	0.0012	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Serine_m+0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Serine_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Serine_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Serine_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Threonine_m+0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Threonine_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Threonine_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Threonine_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Threonine_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_m+0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Tryptophan_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_m+10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_m+11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_m+7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_m+8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_m+9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tyrosine_m+0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Tyrosine_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tyrosine_m+2	0.0004	0.0	0.0004	0.0004	0.0008	0.0007	0.0009	0.0008
L-Tyrosine_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tyrosine_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tyrosine_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tyrosine_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tyrosine_m+7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tyrosine_m+8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tyrosine_m+9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Valine_m+0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Valine_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Valine_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Valine_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Valine_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Valine_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pyruvic_acid_m+0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Pyruvic_acid_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pyruvic_acid_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pyruvic_acid_m+3	1.0	1.0	1.0	1.0	0.0004	0.0003	0.0005	0.0005
