metabolite_or_isotopologue	sgLDHAB_T0-1	sgLDHAB_T0-2	sgLDHAB_T0-3	Cont_T0-1	Cont_T0-2	Cont_T0-3	sgLDHAB_T24-1	sgLDHAB_T24-2	sgLDHAB_T24-3	Cont_T24-1	Cont_T24-2	Cont_T24-3	sgLDHAB_T48-1	sgLDHAB_T48-2	sgLDHAB_T48-3	Cont_T48-1	Cont_T48-2	Cont_T48-3
Fru1P_m+3	0.165169667	0.170024308	0.169300449	0.005546001	0.004730472	0.004943952	0.089722976	0.077199877	0.091839837	0.0	0.0	0.0	0.041884586	0.047340364	0.048094901	0.0	0.0	0.0
Fru1P_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.009582063	0.00956594	0.009680064	0.0	0.0	0.0	0.005091571	0.005184558	0.003888241	0.0	0.0	0.0
Fru1P_m+5	0.006083879	0.006287199	0.006525962	0.01643783	0.016946847	0.016887528	0.068656872	0.064047789	0.066165324	0.033695538	0.031878051	0.033138834	0.035004769	0.036273717	0.034440169	0.027455972	0.030459629	0.028129484
Fru1P_m+6	0.181729136	0.184075468	0.180043503	0.493356969	0.49520894	0.498608152	0.808613608	0.820448099	0.798066689	0.958715046	0.959574652	0.958830214	0.821764941	0.790246396	0.782801635	0.957199438	0.957155368	0.962748695
Fum_m+0	0.929115028	0.86731385	0.873528294	0.954410859	0.916113725	0.888756958	0.657237179	0.587179207	0.576850668	0.477840678	0.500188342	0.482748765	0.676049672	0.625126753	0.645884481	0.677442776	0.60482718	0.602969256
Fum_m+1	0.019755349	0.050780368	0.045259385	0.0	0.007868305	0.03044843	0.047263967	0.05586283	0.040144843	0.007225726	0.015068369	0.013833728	0.055617744	0.053731701	0.035304017	0.052287679	0.07241903	0.06611413
Fum_m+2	0.027222984	0.051263824	0.050010809	0.0	0.023224749	0.030840621	0.15799247	0.167593103	0.173171082	0.133700626	0.138980767	0.139416631	0.126141673	0.142594052	0.139745909	0.109208538	0.144781102	0.139495929
Fum_m+3	0.023906639	0.030641959	0.031201512	0.045589141	0.05279322	0.049953991	0.072945802	0.104638294	0.116898216	0.374033879	0.340318502	0.354926825	0.077713533	0.109521367	0.106082421	0.095506808	0.112231166	0.123102038
Fum_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.064560582	0.084726566	0.092935191	0.007199091	0.005444021	0.009074051	0.064477378	0.069026127	0.072983172	0.065554199	0.065741523	0.068318647
Glc6P_m+0	0.0	0.0	0.0	0.0	0.0	0.0	0.006841073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012170817	0.013422004	0.0
Glc6P_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glc6P_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glc6P_m+3	0.0	0.0	0.0	7.97e-18	6.23e-18	1.51e-17	0.0	0.0	0.0	5.12e-18	5.93e-18	5.17e-18	5.95e-19	7.76e-19	0.0	0.0	0.0	2.09e-18
Glc6P_m+4	0.006689885	0.006654464	0.006556015	0.0	0.0	0.0	0.013320516	0.018392281	0.014485697	0.0	0.0	0.0	0.0	0.0	0.008030587	0.006011229	0.0	0.0
Glc6P_m+5	0.038036484	0.040745786	0.038059844	0.029529186	0.031572663	0.031709396	0.040195409	0.047647265	0.046258956	0.026647999	0.028950019	0.03079983	0.038483971	0.037639473	0.04316096	0.034975303	0.035503905	0.034787718
Glc6P_m+6	0.955273631	0.952599749	0.955384141	0.970470814	0.968427337	0.968290604	0.939643002	0.933960454	0.939255347	0.973352001	0.971049981	0.96920017	0.961516029	0.962360527	0.948808453	0.946842651	0.951074091	0.965212282
Gly3P_m+0	0.966816539	0.966677866	0.967468403	0.958495961	0.93865165	0.951522958	0.841020262	0.900049684	0.883361253	0.635218315	0.631671092	0.631181155	0.957906925	0.958289615	0.965838311	0.764099074	0.752912519	0.72044451
Gly3P_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.015501709	0.004695148	0.010417267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gly3P_m+2	0.033183461	0.033322134	0.032531597	0.041504039	0.06134835	0.048477042	0.143478029	0.095255168	0.10622148	0.364781685	0.368328908	0.368818845	0.042093075	0.041710385	0.034161689	0.235900926	0.247087481	0.27955549
Gly3P_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IsoCit_m+0	0.956836972	0.95139355	0.951435818	0.974260388	1.0	0.983787632	0.930657812	0.838840169	0.843748985	0.631639973	0.644092456	0.525150474	0.992400402	0.972617584	0.958203489	0.730873405	0.655303303	0.639846097
IsoCit_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IsoCit_m+2	0.029672785	0.030456367	0.032585255	0.007417688	0.0	0.009485805	0.029611881	0.06614537	0.06239535	0.113552732	0.103679921	0.129357038	0.0	0.0	0.0	0.079144107	0.106316952	0.112415467
IsoCit_m+3	0.013490244	0.018150084	0.015978926	0.018321923	0.0	0.006726563	0.012228335	0.035355343	0.03377597	0.021604478	0.024028297	0.03037056	0.007599598	0.027382416	0.041796511	0.029899501	0.037804077	0.041382666
IsoCit_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.016389655	0.031485462	0.031542693	0.132262573	0.146340276	0.181930051	0.0	0.0	0.0	0.086823838	0.111693832	0.129676035
IsoCit_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.011112316	0.028173655	0.028537001	0.100940244	0.08185905	0.133191877	0.0	0.0	0.0	0.073259148	0.088881836	0.076679735
IsoCit_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mal_m+0	0.801745213	0.771075617	0.762488203	0.846556491	0.78141405	0.785379086	0.528594099	0.506734387	0.507568236	0.396079363	0.416634025	0.40350692	0.540671387	0.510036262	0.525076814	0.449067184	0.448885774	0.437081823
Mal_m+1	0.067224377	0.08807304	0.091858746	0.019820481	0.052054577	0.061984749	0.05889701	0.057832597	0.053966003	0.019216448	0.019131003	0.023531059	0.064708075	0.062490073	0.053684064	0.064131319	0.090427383	0.073287426
Mal_m+2	0.058459601	0.070879344	0.068546585	0.019419975	0.038937848	0.043138412	0.185565102	0.183958958	0.182809393	0.164316724	0.157385847	0.161933131	0.158805802	0.161374697	0.161807429	0.179263853	0.175697104	0.175798834
Mal_m+3	0.066844355	0.062104775	0.06699774	0.11109337	0.124245641	0.104105513	0.1220231	0.140657503	0.140727327	0.41550979	0.40155018	0.404471115	0.142131779	0.160026655	0.152846152	0.178247623	0.18705402	0.199800505
Mal_m+4	0.005726453	0.007867224	0.010108727	0.003109683	0.003347884	0.00539224	0.104920688	0.110816556	0.114929041	0.004877675	0.005298945	0.006557775	0.093682956	0.106072312	0.106585541	0.129290021	0.097935718	0.114031412
P5P_m+0	0.208615763	0.21646659	0.214093858	0.103158404	0.108448246	0.108388303	0.059421613	0.10069397	0.087418485	0.018879724	0.020623453	0.022009236	0.507496869	0.545235357	0.549885943	0.083036918	0.120270945	0.094079238
P5P_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P5P_m+2	0.128056776	0.132519511	0.138286057	0.008384457	0.007607962	0.008441996	0.026511582	0.028759559	0.034730111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P5P_m+3	0.063247045	0.052857668	0.047842401	0.025344805	0.028210809	0.026952727	0.025006566	0.024288765	0.029417891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P5P_m+4	0.024417345	0.024220901	0.027017913	0.020480357	0.018839299	0.021335354	0.045367533	0.04888343	0.046512727	0.022968537	0.022371691	0.0204338	0.0	0.0	0.0	0.02187826	0.017852483	0.021075001
P5P_m+5	0.575663072	0.57393533	0.572759771	0.842631977	0.836893685	0.834881619	0.843692706	0.797374276	0.801920785	0.958151739	0.957004856	0.957556964	0.492503131	0.454764643	0.450114057	0.895084822	0.861876572	0.884845761
PEP_m+0	0.327526375	0.379378408	0.365118358	0.06869522	0.026238908	0.028807767	0.212592364	0.367992736	0.319840154	0.0088607	7.93e-22	0.0	0.319516044	0.315868868	0.31973319	0.0	0.261063975	0.0
PEP_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PEP_m+2	0.0	0.0	0.0	0.012474437	0.011462912	0.011775145	0.013786479	0.011679173	0.012296808	0.009315682	0.0	0.012014631	0.01123286	0.012096548	0.007753577	0.0	0.0	0.0
PEP_m+3	0.672473625	0.620621592	0.634881642	0.918830343	0.96229818	0.959417088	0.773621157	0.620328091	0.667863038	0.981823619	1.0	0.987985369	0.669251096	0.672034583	0.672513234	1.0	0.738936025	1.0
PRPP_m+0	0.278637623	0.291508955	0.23648482	0.065628228	0.065451571	0.06187909	3.15e-16	1.63e-16	2.62e-16	0.005441778	0.008057777	0.0	0.0	0.0	0.0	2.78e-17	6.52e-18	1.36e-17
PRPP_m+1	0.0	0.0	0.0	0.0	0.0	0.0	2.91e-15	1.48e-15	2.43e-15	0.0	0.0	3.48e-16	0.0	0.0	0.0	2.67e-16	6.72e-17	1.35e-16
PRPP_m+2	0.191541022	0.193871805	0.196127285	0.010659385	0.009960197	0.010575484	5e-15	2.56e-15	4.17e-15	0.0	0.0	0.0	0.0	0.0	0.0	4.5e-16	1.1e-16	2.24e-16
PRPP_m+3	0.060088961	0.059055675	0.066411477	0.025631845	0.024367368	0.024533646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRPP_m+4	0.023180676	0.0	0.015733274	0.022748363	0.023442044	0.022169624	3.42e-15	1.75e-15	2.85e-15	0.023325373	0.023406306	0.022455837	0.0	0.0	0.0	3.08e-16	7.59e-17	1.55e-16
PRPP_m+5	0.446551718	0.455563565	0.485243144	0.87533218	0.87677882	0.880842157	1.0	1.0	1.0	0.971232849	0.968535917	0.977544163	0.0	0.0	0.0	1.0	1.0	1.0
Pyr_m+0	0.677636907	0.677529663	0.635121439	0.769373766	0.870234254	0.764842072	0.525792897	0.116677719	0.096940636	0.236210403	0.27233845	0.18648272	0.080040262	0.072376033	0.068009495	0.338261219	0.277937404	0.280220617
Pyr_m+1	0.005575586	0.004314951	0.004631089	0.0	0.0	0.0	0.001245461	0.003603678	0.00437348	0.0	0.0	0.0	0.006950146	0.006849888	0.007249812	0.0	0.0	0.0
Pyr_m+2	0.015377169	0.014368539	0.016527879	0.003484573	0.008620383	0.011254339	0.014737493	0.033995936	0.034969117	0.011244038	0.010160501	0.011600832	0.039516877	0.039723345	0.040771285	0.007708565	0.008364777	0.008739862
Pyr_m+3	0.301410338	0.303786847	0.343719593	0.227141661	0.121145363	0.223903589	0.458224149	0.845722666	0.863716766	0.752545559	0.717501049	0.801916449	0.873492715	0.881050734	0.883969408	0.654030216	0.713697818	0.711039521
Rib1P_m+0	0.886916547	0.891057931	0.889864787	0.909840045	0.912033977	0.914799791	0.483002639	0.559373344	0.621050134	0.446610476	0.463017722	0.46650594	1.0	1.0	1.0	0.453663172	0.410335319	0.427634599
Rib1P_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rib1P_m+2	0.018797375	0.014812443	0.021183092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rib1P_m+3	0.01131414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rib1P_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013021792	0.011508857	0.01176675	0.0	0.0	0.0	0.0	0.0	0.0
Rib1P_m+5	0.082971938	0.094129626	0.088952121	0.090159955	0.087966023	0.085200209	0.516997361	0.440626656	0.378949866	0.540367733	0.525473421	0.52172731	0.0	0.0	0.0	0.546336828	0.589664681	0.572365401
Sed7P_m+0	0.250851905	0.259365502	0.243534419	0.546384045	0.0	0.510528024	0.024890151	0.036810175	0.028998802	0.011864655	0.010573245	0.011783305	0.033418956	0.022421153	0.016081749	0.024174844	0.035102248	0.02699158
Sed7P_m+1	0.011695874	0.003602916	0.0	0.0	0.0	0.0	0.001454905	0.010965885	0.003663662	0.0	0.0	0.0	0.017852559	0.0	0.0	0.01057095	0.014754416	0.011392126
Sed7P_m+2	0.046630283	0.042718508	0.042143433	0.0	0.0	0.0	0.029961078	0.042421522	0.03365318	0.00681953	0.003555716	0.006374349	0.02349876	0.018161092	0.014175887	0.067579673	0.085311044	0.067074173
Sed7P_m+3	0.03965262	0.036977936	0.03491971	0.0	0.0	0.0	0.009630434	0.015328	0.012840398	0.0	0.0	0.0	0.006794162	0.0	0.0	0.016008569	0.018171737	0.014872133
Sed7P_m+4	0.133172794	0.125652485	0.129243878	0.0	0.0	0.0	0.041227798	0.033266809	0.042979164	0.0	0.0	0.0	0.014208699	0.019237396	0.015988373	0.01968076	0.022308574	0.017660619
Sed7P_m+5	0.089141496	0.085880511	0.080080138	0.0	0.0	0.0	0.051633708	0.059741618	0.054716344	0.004991767	0.00365244	0.006044264	0.019293623	0.02159952	0.016232147	0.061770642	0.07772777	0.062092767
Sed7P_m+6	0.044866732	0.042730627	0.045100407	0.0	0.0	0.0	0.063997372	0.063875425	0.074575642	0.039127667	0.038705407	0.039295969	0.054235571	0.054887574	0.060300913	0.083603282	0.079113279	0.076809836
Sed7P_m+7	0.383988296	0.403071515	0.424978015	0.453615955	0.0	0.489471976	0.777204556	0.737590567	0.748572808	0.937196381	0.943513191	0.936502112	0.830697671	0.863693265	0.877220931	0.716611281	0.667510933	0.723106766
Suc_m+0	0.737122479	0.690874739	0.653242941	0.968191823	0.838248816	0.784499992	0.616514987	0.530073842	0.547338283	0.61071586	0.570316571	0.52222798	0.502643171	0.471591995	0.50067912	0.550736041	0.495414908	0.476067557
Suc_m+1	0.123784637	0.130353823	0.138332233	0.020538556	0.081053133	0.093126364	0.139746626	0.136092563	0.138597904	0.129142018	0.117636829	0.142425684	0.132346529	0.131542217	0.121339922	0.138448876	0.141781101	0.139240096
Suc_m+2	0.094855493	0.110487501	0.123956266	0.009027985	0.057861583	0.07756675	0.137613331	0.162675831	0.154565463	0.119922581	0.133678589	0.154648943	0.17994846	0.181188997	0.174688186	0.153760174	0.168589898	0.173233195
Suc_m+3	0.02814178	0.049085813	0.058510156	0.00061265	0.01615904	0.033854528	0.064034876	0.10174377	0.093886765	0.090424924	0.126132757	0.116359218	0.100497239	0.122202192	0.112727531	0.091826904	0.122528237	0.129957926
Suc_m+4	0.016095612	0.019198124	0.025958404	0.001628985	0.006677428	0.010952366	0.04209018	0.069413994	0.065611585	0.049794617	0.052235255	0.064338176	0.084564601	0.0934746	0.090565242	0.065228004	0.071685855	0.081501226
ADP_m+0	0.990636694	0.990009441	0.988873422	0.992170219	0.992189955	0.991743066	0.330704308	0.341686563	0.333420148	0.554062537	0.570858709	0.562828603	0.210261583	0.202416719	0.197057801	0.560294791	0.563666829	0.549328934
ADP_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADP_m+10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADP_m+2	0.0	7.53e-05	0.000380418	0.0	0.0	0.0	0.017744546	0.018414571	0.019038501	0.0	0.0	0.0	0.002760704	0.003233648	0.002978057	0.0	0.0	0.0
ADP_m+3	1.99e-05	0.000241976	0.000205075	0.0	0.0	0.0	0.029124953	0.029712626	0.028090476	0.000377086	0.000570373	0.00036917	0.010033788	0.012030227	0.011033433	0.000268784	0.000410404	0.000661452
ADP_m+4	0.000711658	0.000665924	0.000661539	0.000115875	7.1e-05	0.000110726	0.035276173	0.03720503	0.03561669	0.009752326	0.009220112	0.009071703	0.028286119	0.030138072	0.02860646	0.010116401	0.009764482	0.010492847
ADP_m+5	0.00863171	0.009007341	0.009879546	0.007152588	0.007171359	0.007394046	0.58715002	0.57298121	0.583834185	0.296525595	0.294942943	0.294588115	0.748657807	0.752181334	0.76032425	0.317582906	0.312856209	0.325222532
ADP_m+6	0.0	0.0	0.0	0.000561318	0.000567656	0.000752161	0.0	0.0	0.0	0.09067562	0.085003699	0.087282839	0.0	0.0	0.0	0.074756758	0.07657534	0.077787472
