metabolite_or_isotopologue	L-Cycloserine_med_T0-1	L-Cycloserine_med_T0-2	L-Cycloserine_med_T0-3	L-Cycloserine_med_T1h-1	L-Cycloserine_med_T1h-2	L-Cycloserine_med_T1h-3	L-Cycloserine_med_T2h-1	L-Cycloserine_med_T2h-2	L-Cycloserine_med_T2h-3	L-Cycloserine_med_T4h-1	L-Cycloserine_med_T4h-2	L-Cycloserine_med_T4h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	L-Cycloserine_med_T24h-1	L-Cycloserine_med_T24h-2	L-Cycloserine_med_T24h-3
L-Histidine	64943662.63333333	66958084.63333333	66679871.63333333	69297368.63333334	68234592.63333334	66712264.63333333	67970373.63333334	69607422.63333334	70644108.63333334	67765953.63333334	67899346.63333334	67707721.63333334	70698974.63333334	70265050.63333334	70476819.63333334	74275159.63333334	70799035.63333334	73349999.63333334
L-Lactic_acid	8901197393.093334	8704911808.093334	9440938944.093334	9878848530.093334	9006229764.093334	9366152387.093334	9400722189.093334	9863466762.093334	9233516851.093334	10009259870.093334	9355429905.093334	10241150034.093334	9544306546.093334	9016586670.093334	9878715228.093334	8735164799.093334	8999879567.093334	9435335172.093334
L-Lysine	119744345.59333332	119004184.71333334	118794156.71333334	120125717.84333332	116911504.71333334	117593437.71333334	118584270.71333334	117133694.71333334	118393862.71333334	118911480.71333334	120226801.71333334	119815398.71333334	118569342.71333334	118721623.71333334	119101821.71333334	118976574.71333334	117859840.71333334	119791589.71333334
L-Methionine	118873593.96666668	116214414.89666668	117400577.75666668	123694319.58666667	117288366.58666667	119857131.58666667	118851523.58666667	123449681.58666667	121200087.53666668	111123899.58666667	114168861.58666667	112199350.58666667	125014811.20666668	120112695.58666667	120835515.58666667	127144850.02666669	124138283.98666668	121377941.07666668
L-Phenylalanine	685784788.8666667	665904616.8666667	677305269.8666667	717129140.8666667	674076428.8666667	698688642.8666667	714741480.8666667	705881485.8666667	718495782.8666667	698033362.8666667	688140911.8666667	696149533.8666667	703227744.8666667	706686803.8666667	685431323.8666667	748198640.8666667	726053938.8666667	729283877.8666667
L-Proline	7152407.533333333	6966378.033333333	10135009.533333331	8555695.033333333	9489934.033333331	6848315.233333332	9268074.033333331	9909521.833333334	12014306.033333331	7961701.233333332	8746837.833333334	8618266.233333332	8653770.533333333	7155313.833333334	7456841.373333333	5249305.133333333	14286061.333333334	11904169.223333333
L-Serine	87723164.15666667	84905739.15666667	87898215.19666667	93428854.77666669	88745799.15666667	89537019.15666667	90456917.15666668	93913089.15666668	91013558.15666668	91506652.15666668	89845977.15666667	88933063.15666667	91529537.15666668	89834464.15666667	93153026.15666668	88982888.15666667	85230100.15666667	92006836.15666668
L-Threonine	287841134.94	283733608.09	287359505.61	294195236.59	287362085.29	294661549.58	296904540.79	288355169.29	287154483.47	287201805.05	294807087.19	288309753.27	294971503.41	292724826.36	287431553.38	307296177.49	288305050.89	314174462.09
L-Tryptophan	22572464.73333333	20887438.73333333	22403344.73333333	22106501.73333333	21022421.73333333	21551327.73333333	20532655.73333333	21681238.73333333	22780232.73333333	21775685.73333333	23323834.73333333	21996218.73333333	21142223.73333333	20031621.73333333	20473595.73333333	22251769.73333333	23072352.73333333	24888086.73333333
L-Tyrosine	554116402.9066666	532238404.9066666	554693942.9066666	576121956.9066666	544771812.9066666	560309911.9066666	568375310.9066666	574309133.9066666	576173656.9066666	544061256.9066666	549809005.9066666	543916256.9066666	586539602.9066666	565405779.9066666	564118256.9066666	602744488.9066666	588130430.9066666	590615306.9066666
L-Valine	606569154.8966666	603361959.6966666	613994054.9966667	632326391.4966667	606872584.2966666	616082374.7966666	611454433.5966667	621103613.1966666	616571245.4766667	604944312.9966667	610006303.0966667	613850979.9966667	634953588.1966666	608746457.8966666	618840800.3966666	637703679.4966667	622303362.1966666	626345397.5966667
Pyruvic_acid	1954504808.4333327	1917436849.8333333	1976663673.6333327	1996403404.1333327	1973584354.5333333	2038557272.233333	1873057071.1333327	2047218329.5333333	2005499263.0333333	1976002782.6333327	2050883506.233333	2053050814.233333	2058883585.8333333	2032464226.0333333	2095958119.0333333	2037112199.0333333	2125653005.9333327	2113603472.233333
cis-Aconitic_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
