metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_cell_T24h-1	input_L-Cycloserine_cell_T24h-2	input_L-Cycloserine_cell_T24h-3	input_L-Cycloserine_cell_T6h-1	input_L-Cycloserine_cell_T6h-2	input_L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	geommean_24	geommean_6
L-Aspartic_acid_m+1	0.6441405644860296	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.5500878734622147	1.562808020246112	('0/3', '0/3')	1.4017470544830855	2.5482238785970455	cell	0.126	0.1209	0.116	0.0847	0.0791	0.0691	5.6428156186858995	5.414415938881946	5.1949731092663844	3.793226054783299	3.5424342495083705	3.094591740088854	5.414315922578236	3.464479227413733
L-Glutamine_m+4	0.8392744068875658	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.5224719101123597	1.7891500753494145	('0/3', '0/3')	1.2868044143998612	2.4629159759481207	cell	0.0908	0.1005	0.0965	0.0471	0.0519	0.0629	4.187879599552235	4.635263213160789	4.450775125074787	2.172347237212668	2.39373294291587	2.901075185152374	4.4208055556442805	2.4708970010695794
L-Malic_acid_m+3	1.1993397736300855	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.502415458937198	2.2963455835744475	('0/3', '0/3')	1.195145738751121	2.3787996915527128	cell	0.0241	0.0316	0.032	0.0113	0.0137	0.013	2.769520413836733	3.631404360051484	3.6773715038496038	1.2985718122968912	1.5743746750856118	1.4939321734389015	3.3317486408659276	1.4508916535462364
L-Malic_acid_m+0	-0.07298411939487195	-1.9639610121239315	0.024767306717813353	0.02919004006028002	0.4773869346733688	0.9506695657593699	('0/3', '0/3')	1.1454209969972595	2.399355562131092	cell	0.9222	0.8988	0.8982	0.9579	0.9507	0.9515	37.06341205020592	36.12296112635554	36.09884700010297	38.49820256223406	38.20883304720318	38.24098521553994	36.42565395425285	38.31578843607662
L-Glutamine_m+0	-0.4073714909921963	-1.9639610121239315	0.024767306717813353	0.02919004006028002	0.47544303797468424	0.7539958609678995	('0/3', '0/3')	1.202219112563677	2.528629123869285	cell	0.5014	0.4424	0.4312	0.6287	0.5962	0.5953	6.4195171782686575	5.6641292374672005	5.5207335605692975	8.049362684438583	7.633259157725915	7.6217362908323345	5.855231929331347	7.765602216721753
L-Lactic_acid_m+2	0.05638807218751928	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.24999999999999822	1.0398591104488033	('0/3', '0/3')	0.7442084075352469	2.9768336301410088	cell	0.0121	0.0122	0.0123	0.0119	0.0115	0.0118	45.02460865588264	45.396712859650265	45.76881706341789	44.28040024834739	42.79198343327688	43.908296044579764	45.39569615872809	43.65562190356279
L-Lactic_acid_m+3	-0.000681395520768668	-1.9639610121239315	0.024767306717813353	0.02919004006028002	0.24999999999992362	0.9995278041355077	('0/3', '0/3')	0.7442084075350976	2.9768336301413	cell	0.9879	0.9878	0.9877	0.9881	0.9885	0.9882	3676.0174290203367	3675.645324816569	3675.273220612801	3676.761637427872	3678.2500542429425	3677.133741631639	3675.6453122599055	3677.381756717587
L-Proline_m+3	1.8385666127613471	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.1280487804878049	3.5765450475203338	('0/3', '0/3')	0.37089476724241477	2.896511515607429	cell	0.0057	0.0183	0.0108	0.0036	0.0019	0.0036	1.0067143682294113	3.2320829716838992	1.9074588029609898	0.6358196009869965	0.3355714560764704	0.6358196009869965	1.8377283356546557	0.5138278174152391
L-Proline_m+2	0.2719142096519429	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.08620689655172424	1.2074087903800057	('0/3', '0/3')	0.2597792093379958	3.013438828320748	cell	0.0363	0.032	0.0387	0.0271	0.031	0.0304	9.429985298969235	8.312934698815857	10.053455401380425	7.0400165730596775	8.053155489477861	7.897287963875063	9.23691428258587	7.650196318082752
L-Malic_acid_m+2	0.33851032642671436	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.05147058823529441	1.264450295031219	('0/3', '0/3')	0.1429266090138661	2.776859832269383	cell	0.0313	0.0388	0.0396	0.026	0.0299	0.0306	6.3908612316199775	7.922217756768535	8.08556245278438	5.308702620514997	6.105008013592246	6.247934622606111	7.425154015273989	5.872238746316765
L-Proline_m+4	1.4848262752220802	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.026315789473684164	2.7988346840693623	('0/3', '0/3')	0.07750489130503668	2.9451858695913993	cell	0.0072	0.0085	0.0065	0.0009	0.0063	0.0032	2.7901760869813255	3.293957880464065	2.5189089674136964	0.3487720108726657	2.4414040761086597	1.2400782608805891	2.8500602571205076	1.0183024647160175
L-Glutamine_m+2	0.15994837903356876	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.02493765586034957	1.1172471612175239	('0/3', '0/3')	0.07075609452174803	2.8373193903220457	cell	0.2002	0.2191	0.2236	0.1835	0.1992	0.1924	14.165370123253703	15.502660309714717	15.821062735062577	12.983743344740532	14.094614028731955	13.613472585984077	15.145720453527643	13.556284570929266
Fumaric_acid_m+2	0.4214561523101425	1.5275252316519468	0.06331522897380859	0.07204836400467875	-0.06593406593406592	1.3392786440841848	('0/3', '0/3')	-0.16823899435254752	2.5516247476803047	cell	0.0151	0.0218	0.0224	0.0133	0.0157	0.0147	4.23401469120578	6.1126834614758945	6.280922455828442	3.7292977081481373	4.402253685558327	4.121855361637415	5.457610861615238	4.075037622471177
L-Glutamic_acid_m+2	-0.016270107450831767	-1.091089451179962	0.13761676203741713	0.14649526281402467	-0.22666666666666224	0.9887857744065665	('0/3', '0/3')	-0.6292820427407833	2.776244306209392	cell	0.2789	0.277	0.2778	0.2772	0.2815	0.2845	103.23927160024036	102.53595637600066	102.83208910199632	102.60998955749957	104.20170295972629	105.31220068221005	102.86870179156196	104.0353779900404
L-Glutamine_m+1	0.23960454840218823	1.091089451179962	0.13761676203741713	0.14649526281402467	-0.26950354609929095	1.180668988428442	('0/3', '0/3')	-0.7429864058557127	2.7568706112014585	cell	0.0588	0.0771	0.0855	0.0573	0.0619	0.0664	5.748368508462614	7.5374015646678165	8.358597065876761	5.601726454675303	6.051428752956392	6.491354914318327	7.127981245937396	6.037239324313301
L-Tyrosine_m+2	0.2766916661858958	0.2182178902359924	0.41362967328135564	0.42655560057139796	-0.49999999999999983	1.2114137285547597	('0/3', '0/3')	-1.4970788677243325	2.994157735448666	cell	0.0004	0.0002	0.0006	0.0001	0.0003	0.0009	1.4970788677243332	0.7485394338621666	2.245618301586499	0.3742697169310833	1.1228091507932496	3.3684274523797493	1.3601864198178542	1.1228091507932498
Hexose_m+2	-0.24045624637172938	0.0	0.5	0.5	-0.2654867256637168	0.8464775749784837	('0/3', '0/3')	-0.7957982738068536	2.997506831339149	cell	0.0122	0.0123	0.0093	0.0122	0.0092	0.0205	3.236246313481205	3.2627729226080997	2.466974648801246	3.236246313481205	2.440448039674351	5.4379548710135	2.9643606178362516	3.5019954520491594
L-Proline_m+0	-0.003477159637132318	0.2182178902359924	0.41362967328135564		-0.7084468664850143	0.9975927187611254	('0/3', '0/3')	-1.9688747680350076	2.779142461034027	cell	0.9541	0.9174	0.9337	0.9523	0.9263	0.9332	72.25013139162294	69.47098893058892	70.70532195824163	72.11382467691283	70.14494990887782	70.66745898193327	70.79969859839859	70.97054465906908
Hexose_m+0	0.0038212956228037822	0.0	0.5		-0.9830508474576274	1.0026522312457768	('0/3', '0/3')	-2.1810038946214547	2.218607410045962	cell	0.9981	0.9882	1.0	0.99	1.0	0.9884	187.66034372600552	185.79896971249238	188.01757712253834	186.13740135131297	188.01757712253834	185.8365732279169	187.15643048872454	186.66136139365705
L-Lysine_m+2	-1.4036774610288019	-1.161895003862225	0.1226390584033864			0.37796447300922725	('1/3', '1/3')	0.0		cell	0.0001		0.0004	0.0004		0.0007	0.47140452079103173		1.885618083164127	1.885618083164127		3.299831645537222	0.9428090415820635	2.4944382578492945
L-Tryptophan_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Glycine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Ile_Leu_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Tyrosine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Pyruvic_acid_m+3	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Lysine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Histidine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Alanine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Proline_m+1	-0.9044509897167605	-1.1547005383792517	0.12410653949496181			0.5342359661345866	('1/3', '0/3')	-0.5701754385964912		cell		0.0214	0.0084	0.0162	0.0346	0.0282		2.3464912280701755	0.9210526315789473	1.7763157894736843	3.793859649122807	3.0921052631578947	1.4701162949205588	2.7518107879509595
Hexose-phosphate_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Valine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Methionine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Threonine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Arginine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Serine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Phenylalanine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Alanine_m+2						17320508075.68877	('1/3', '3/3')	-1.9999999999999998		cell	0.0003	0.0001					3.0	1.0000000000000002					1.7320508075688772	0.0
Succinic_acid_m+0						0.9885225995765934	('1/3', '2/3')	2.111913843479158		cell	0.9776		0.9775			0.9889	182.7085817155084		182.68989221246875			184.82049555898755	182.6992367250045	184.82049555898746
Citric_acid_m+6						2000000.0000000019	('2/3', '3/3')	0.0		cell			0.0002						0.0002				0.0002000000000000002	0.0
Hexose_m+4						8999999.999999998	('2/3', '3/3')	0.0		cell	0.0009						0.0009						0.0008999999999999998	0.0
Fructose_1,6-bisphosphate_m+0						10000000000.0	('2/3', '3/3')	0.0		cell	1.0						1.0						1.0	0.0
Hexose_m+3						1000000.0000000008	('2/3', '3/3')	0.0		cell	0.0001						0.0001						0.00010000000000000009	0.0
L-Proline_m+5						1.3673058777264786	('0/3', '2/3')	0.0		cell	0.0013	0.0024	0.0018			0.0013	2.8712196779460104	5.300713251592634	3.975534938694476			2.8712196779460104	3.9258355418995072	2.8712196779460104
Succinic_acid_m+1						24.81934729198171	('1/3', '2/3')	1.8141236937208565		cell	0.0022		0.0028			0.0001	1.9005105362789925		2.4188315916278085			0.08638684255813601	2.1440650469081235	0.08638684255813601
Succinic_acid_m+2						1.5163594615548286	('1/3', '2/3')	1.8811791385873677		cell	0.0091		0.0085			0.0058	6.340270430053718		5.922230621478748			4.041051482891381	6.127686650712516	4.041051482891381
Citric_acid_m+0						10000000000.0	('2/3', '3/3')	0.0		cell			1.0						1.0				1.0	0.0
Fumaric_acid_m+1						7383000562.446491	('0/3', '3/3')	-2.3363746738358024		cell	0.0024	0.0002	0.0007				2.5487723714572392	0.21239769762143665	0.7433919416750282				0.7383000562446491	0.0
Succinic_acid_m+4						3.063766744820281	('1/3', '2/3')	1.9721858324869599		cell	0.0044		0.0048			0.0015	2.9922819527388356		3.264307584806002			1.0200961202518757	3.1253365697478874	1.0200961202518757
Citric_acid_m+4						72000000.0	('2/3', '3/3')	0.0		cell			0.0072						0.0072				0.0072	0.0
Citric_acid_m+5						12000000.000000006	('2/3', '3/3')	0.0		cell			0.0012						0.0012				0.0012000000000000005	0.0
Citric_acid_m+3						36000000.0	('2/3', '3/3')	0.0		cell			0.0036						0.0036				0.0036	0.0
Succinic_acid_m+3						1.7559249590033281	('1/3', '2/3')	1.9548933577566339		cell	0.0067		0.0063			0.0037	5.03760980652671		4.736856982256459			2.781963624499825	4.884919363298605	2.781963624499825
Hexose_m+5						1.2857142857142854	('2/3', '2/3')	1.9999999999999991		cell			0.0009		0.0007				9.0		7.000000000000001		8.999999999999998	7.000000000000001
L-Valine_m+1						1000000.0000000008	('2/3', '3/3')	0.0		cell		0.0001						0.0001					0.00010000000000000009	0.0
