metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_cell_T0-1	input_L-Cycloserine_cell_T0-2	input_L-Cycloserine_cell_T0-3	input_L-Cycloserine_cell_T1h-1	input_L-Cycloserine_cell_T1h-2	input_L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	geommean_1	geommean_0
L-Histidine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Alanine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Aspartic_acid_m+1	5.1229947317361555	1.7320508075688774	0.0416322583317752			34.847777237514165	('1/3', '0/3')	1.9227648816991205		cell	0.0014	0.0021		0.0569	0.0628	0.0597	0.0491217305543571	0.07368259583153564		1.9964474775306562	2.2034604848668753	2.0946909386393706	2.096497601906004	0.06016158757032836
L-Proline_m+1	0.0907935960658567	0.0	0.5			1.0649558310681932	('0/3', '1/3')	-1.4243669075022098		cell	0.0208	0.0244	0.0162	0.015	0.0308		3.613028253176337	4.238360066226088	2.813993158723878	2.605549221040628	5.350061067203423		3.733610510775282	3.505882968902402
Hexose-phosphate_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Valine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Methionine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Threonine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Arginine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Fumaric_acid_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Serine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Phenylalanine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Fumaric_acid_m+2						16035674514.745462	('3/3', '0/3')	-2.4053511772118195		cell				0.0001	0.0004	0.0002				0.8017837257372732	3.2071349029490928	1.6035674514745464	1.6035674514745464	0.0
Hexose_m+4						0.0	('2/3', '3/3')	0.0		cell		0.0009						0.0009					0.0	0.0008999999999999998
Hexose_m+3						2000000.0000000019	('3/3', '2/3')	0.0		cell				0.0002						0.0002			0.0002000000000000002	0.0
L-Aspartic_acid_m+4						23.921554575418625	('2/3', '0/3')	1.6369802286587933		cell	0.0003			0.0056	0.0075	0.0088	0.09265925822596942			1.7296394868847627	2.3164814556492357	2.7180049079617703	2.2165535025703345	0.09265925822596942
L-Glutamic_acid_m+5						374631450733.9781	('3/3', '0/3')	-2.1213203435596455		cell				0.0068	0.0072	0.0072				36.0624458405139	38.18376618407355	38.18376618407355	37.46314507339781	0.0
L-Alanine_m+3						0.0	('2/3', '3/3')	0.0		cell		0.0006						0.0006					0.0	0.0006000000000000003
L-Proline_m+4						23000000.0	('3/3', '2/3')	0.0		cell					0.0023						0.0023		0.0023	0.0
L-Glutamine_m+4						165099810921.83334	('3/3', '0/3')	-2.3821825493493574		cell				0.0267	0.0279	0.0308				15.513237577470212	16.21046173825539	17.89542012681957	16.509981092183335	0.0
Fumaric_acid_m+3						3000000.000000001	('3/3', '2/3')	0.0		cell				0.0003						0.0003			0.0003000000000000001	0.0
Hexose_m+1						23999999.999999993	('3/3', '2/3')	0.0		cell					0.0024						0.0024		0.0023999999999999994	0.0
L-Glutamine_m+3						105809146049.64546	('3/3', '0/3')	-2.309929241677189		cell				0.0288	0.0346	0.036				9.239716966708757	11.100493300282048	11.549646208385946	10.580914604964546	0.0
L-Glutamine_m+1						81170462681.39565	('3/3', '0/3')	-2.44946091423411		cell				0.0338	0.0457	0.0397				6.95729234463134	9.40675325886545	8.17173094916758	8.117046268139564	0.0
L-Glutamine_m+5						49647454470.76786	('3/3', '0/3')	-2.2745261897272364		cell				0.0034	0.0021	0.0032				5.948760803902003	3.6742346141747664	5.598833697790121	4.964745447076786	0.0
Hexose_m+5						10000000.000000002	('3/3', '2/3')	0.0		cell						0.001						0.001	0.0010000000000000002	0.0
L-Proline_m+2						87944408547.1789	('3/3', '0/3')	-2.4225018484460463		cell				0.0168	0.0222	0.0202				7.536672417387694	9.95917426583374	9.06195135900187	8.79444085471789	0.0
